Player,stats_Born,player_id
James Abankwah,2004,648032.0
Yunis Abdelhamid,1987,199704.0
Paxten Aaronson,2003,795738.0
Brenden Aaronson,2000,393323.0
George Abbott,2005,907215.0
Himad Abdelli,1999,592979.0
Matthis Abline,2003,659543.0
Oliver Abildgaard,1996,325993.0
Salis Abdul Samed,2000,688707.0
Abner,2000,646402.0
Laurent Abergel,1993,238626.0
Tammy Abraham,1997,331726.0
Christian Acella,2002,610881.0
Francesco Acerbi,1988,131075.0
Álvaro Aceves,2003,710474.0
Zakaria Aboukhlal,2000,393238.0
Mohamed Achi,2002,855158.0
Marcos Acuña,1991,60410.0
Che Adams,1996,346779.0
Sargis Adamyan,1993,125614.0
Tosin Adarabioyo,1997,258878.0
Tyler Adams,1999,332705.0
Martin Adeline,2003,814976.0
Karim Adeyemi,2002,496094.0
Amine Adli,2000,532776.0
Yacine Adli,2000,395236.0
Michel Aebischer,1997,237658.0
Emmanuel Agbadou,1997,683895.0
Felix Afena-Gyan,2003,872380.0
Julen Agirrezabala,2000,625014.0
Felix Agu,1999,393512.0
Lucien Agoume,2002,569384.0
Álvaro Aguado,1996,449496.0
Ruben Aguilar,1993,203746.0
Kevin Agudelo,1998,587458.0
Nayef Aguerd,1996,361914.0
Naouirou Ahamada,2002,538971.0
Jean-Eudes Aholou,1994,178313.0
Joseph Aidoo,1995,358250.0
Rayan Aït-Nouri,2001,578391.0
Ola Aina,1996,236490.0
Ludovic Ajorque,1994,283994.0
Kristoffer Ajer,1998,328658.0
Nathan Aké,1995,177476.0
Manuel Akanji,1995,284730.0
Maghnes Akliouche,2002,745200.0
Babatunde Akinsola,2003,924447.0
Sergio Akieme,1997,355627.0
Paul Akouokou,1997,429901.0
Kevin Akpoguma,1995,160241.0
David Alaba,1992,59016.0
Ángel Alarcón,2004,646739.0
Tomás Alarcón,1999,454238.0
Lucas Alario,1992,193782.0
Raúl Albiol,1985,15452.0
Marc Albrighton,1989,61560.0
Thiago Alcántara,1991,60444.0
Jordi Alba,1989,69751.0
Luis Alberto,1992,128220.0
Carlos Alcaraz,2002,748319.0
Rubén Alcaraz,1991,247250.0
Doğan Alemdar,2002,576033.0
Iván Alejo,1995,281755.0
Omar Alderete,1996,353032.0
Mohamed Ali Cho,2004,670847.0
Trent Alexander-Arnold,1998,314353.0
Ángel Algobia,1999,638589.0
Alejandro Alfaro,2002,720488.0
Faride Alidou,2001,456492.0
Carles Aleñá,1998,284854.0
Jim Allevinah,1995,646733.0
Dele Alli,1996,207929.0
Alisson,1992,105470.0
Miguel Almirón,1994,272999.0
