Player,stats_G+A,stats_G-PK,stats_npxG+xAG,stats_Gls.1,stats_Ast.1,stats_G+A.1,stats_G-PK.1,stats_G+A-PK,stats_xG.1,stats_xAG.1,stats_xG+xAG,stats_npxG.1,stats_npxG+xAG.1,shooting_Gls,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Cmp,passing_Cmp%,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Def,gca_GCA,gca_GCA90,gca_PassLive.1,gca_PassDead.1,gca_TO.1,gca_Sh.1,gca_Fld.1,gca_Def.1,defense_Tkl,defense_Tkl.1,defense_Tkl%,defense_Blocks,defense_Sh,defense_Pass,defense_Tkl+Int,defense_Clr,defense_Err,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off.1,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%,Season,player_id
Max Aarons,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,79.4,21.0,25.0,84.0,24.0,29.0,82.8,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1.0,63.0,51.0,12.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,2.0,2.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,100.0,3.0,1.0,2.0,3.0,0.0,0.0,73.0,2.0,19.0,40.0,15.0,0.0,73.0,2.0,0.0,0.0,1.0,50.0,41.0,152.0,68.0,1.0,0.0,0.0,1.0,0.0,40.0,3.0,3,86,29,2.5,1,61,0,2,13,11,0.67,2,0,2,2.09,1.82,2.3,0.3,2.0,2.12,1.75,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1.0,0,0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0,7.0,0.0,0.0,0.0,2024-2025,471690
Max Aarons,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,79.4,21.0,25.0,84.0,24.0,29.0,82.8,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1.0,63.0,51.0,12.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,2.0,2.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,100.0,3.0,1.0,2.0,3.0,0.0,0.0,73.0,2.0,19.0,40.0,15.0,0.0,73.0,2.0,0.0,0.0,1.0,50.0,41.0,152.0,68.0,1.0,0.0,0.0,1.0,0.0,40.0,3.0,3,86,29,2.5,1,61,0,2,13,11,0.67,2,0,2,2.09,1.82,2.3,0.3,2.0,2.12,1.75,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1.0,0,0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0,7.0,0.0,0.0,0.0,2024-2025,471690
Rodrigo Abajas,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0,0.0,0.0,1.38,0.0,0.0,0.0,24.5,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,17.0,58.6,11.0,14.0,78.6,4.0,7.0,57.1,2.0,7.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,es ESP,DF,Valencia,es La Liga,21,2003,0.7,29.0,21.0,8.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,1.0,4.0,0.0,0.0,36.0,1.0,8.0,19.0,9.0,1.0,36.0,1.0,1.0,100.0,0.0,0.0,13.0,101.0,67.0,3.0,2.0,1.0,0.0,2.0,16.0,3.0,1,65,65,1.9,1,65,0,0,0,8,0.0,1,2,-1,-1.38,-1.14,1.4,0.7,0.7,0.93,1.18,es ESP,DF,Valencia,es La Liga,21,2003,0.7,1,0,0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0,2.0,0.0,1.0,0.0,2024-2025,949116
James Abankwah,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,0,0.0,0.0,1.02,0.0,0.0,0.0,15.0,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,36.0,78.3,13.0,15.0,86.7,18.0,21.0,85.7,3.0,8.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,1.0,46.0,45.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,1.0,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,66.7,2.0,1.0,1.0,5.0,3.0,0.0,65.0,8.0,37.0,22.0,7.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,29.0,219.0,165.0,3.0,1.0,1.0,1.0,3.0,34.0,1.0,6,88,15,2.6,0,0,0,6,15,12,1.67,2,0,2,2.05,2.5,0.6,1.5,-0.9,-0.91,-0.54,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,1.0,1,0,0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0,7.0,2.0,2.0,50.0,2024-2025,648032
Keyliane Abdallah,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr FRA,FW,Marseille,fr Ligue 1,18,2006,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1,3,3,0.1,0,0,0,1,3,7,3.0,0,0,0,0.0,-0.79,0.0,0.0,0.0,-0.49,-1.03,fr FRA,FW,Marseille,fr Ligue 1,18,2006,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2024-2025,1183719
Yunis Abdelhamid,0.0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,0,1.0,50.0,0.17,0.09,0.0,0.0,10.8,0.0,0,0,0.2,0.2,0.12,-0.2,-0.2,438.0,86.7,147.0,160.0,91.9,263.0,287.0,91.6,23.0,48.0,47.9,0.0,0.1,0.3,-0.1,2.0,0.0,0.0,22.0,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987,11.5,505.0,461.0,42.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,438.0,2.0,1.0,6.0,0.55,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,62.5,26.0,18.0,8.0,31.0,57.0,1.0,641.0,127.0,414.0,215.0,14.0,7.0,641.0,7.0,3.0,42.9,4.0,57.1,322.0,1732.0,837.0,4.0,1.0,0.0,8.0,3.0,393.0,3.0,16,"1,033",65,33.8,11,85,9,5,19,17,0.94,5,31,-26,-2.27,-1.73,8.0,26.4,-18.4,-1.67,-0.82,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987,11.5,2,0,0,16.0,6.0,0.0,0.0,14.0,11.0,0.0,0.0,0,42.0,19.0,10.0,65.5,2024-2025,199704
Himad Abdelli,7.0,3,6.4,0.19,0.03,0.22,0.1,0.13,0.2,0.1,0.3,0.1,0.2,6,8.0,22.9,1.11,0.25,0.09,0.38,22.6,0.0,3,4,6.4,3.2,0.09,-0.4,-0.2,1373.0,82.1,710.0,807.0,88.0,531.0,612.0,86.8,82.0,151.0,54.3,1.0,3.2,3.7,-2.2,39.0,38.0,3.0,207.0,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,31.6,1672.0,1555.0,107.0,41.0,23.0,13.0,44.0,15.0,10.0,5.0,2.0,0.0,1373.0,10.0,31.0,94.0,2.98,80.0,2.0,5.0,3.0,5.0,0.16,3.0,0.0,2.0,0.0,0.0,0.0,48.0,15.0,31.3,24.0,1.0,23.0,74.0,28.0,2.0,1993.0,38.0,293.0,1149.0,597.0,49.0,1989.0,121.0,57.0,47.1,61.0,50.4,1183.0,7595.0,4388.0,107.0,90.0,17.0,55.0,51.0,1446.0,111.0,32,"2,842",89,92.9,32,89,25,0,0,0,1.03,28,50,-22,-0.7,-1.11,30.8,54.2,-23.4,-0.74,-1.38,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,31.6,4,0,0,48.0,32.0,3.0,44.0,26.0,32.0,0.0,0.0,0,193.0,13.0,20.0,39.4,2024-2025,592979
Ali Abdi,7.0,5,6.2,0.32,0.13,0.45,0.32,0.45,0.28,0.12,0.4,0.28,0.4,5,11.0,37.9,1.87,0.71,0.17,0.45,16.9,1.0,0,0,4.3,4.3,0.17,0.7,0.7,502.0,74.0,269.0,314.0,85.7,188.0,245.0,76.7,33.0,72.0,45.8,2.0,1.9,1.7,0.1,20.0,21.0,7.0,42.0,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993,15.5,678.0,551.0,122.0,12.0,0.0,2.0,51.0,110.0,0.0,0.0,0.0,0.0,502.0,5.0,22.0,45.0,2.91,33.0,3.0,4.0,1.0,3.0,0.19,1.0,1.0,0.0,1.0,0.0,0.0,43.0,28.0,65.1,20.0,6.0,14.0,63.0,37.0,0.0,886.0,51.0,230.0,349.0,315.0,50.0,886.0,29.0,12.0,41.4,16.0,55.2,391.0,1880.0,1003.0,35.0,15.0,9.0,32.0,14.0,481.0,101.0,25,"1,393",56,45.5,17,77,6,8,10,1,1.8,26,16,10,0.65,-0.16,26.2,18.0,8.3,0.54,-0.17,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993,15.5,2,0,0,27.0,14.0,5.0,51.0,20.0,25.0,0.0,0.0,0,72.0,22.0,14.0,61.1,2024-2025,211474
Saud Abdulhamid,1.0,0,0.2,0.0,0.44,0.44,0.0,0.44,0.01,0.08,0.09,0.01,0.09,0,0.0,0.0,0.44,0.0,0.0,0.0,24.7,0.0,0,0,0.0,0.0,0.03,0.0,0.0,118.0,86.8,65.0,69.0,94.2,49.0,55.0,89.1,2.0,6.0,33.3,1.0,0.2,0.2,0.8,2.0,4.0,2.0,9.0,sa KSA,DF,Roma,it Serie A,25,1999,2.3,136.0,103.0,33.0,1.0,0.0,0.0,7.0,32.0,0.0,0.0,0.0,0.0,118.0,0.0,3.0,6.0,2.65,5.0,0.0,0.0,0.0,1.0,0.44,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,100.0,2.0,0.0,2.0,5.0,0.0,0.0,157.0,0.0,27.0,75.0,56.0,7.0,157.0,8.0,3.0,37.5,2.0,25.0,90.0,399.0,175.0,6.0,2.0,2.0,5.0,1.0,108.0,26.0,4,205,51,6.0,2,62,0,2,41,27,1.5,4,1,3,1.32,0.81,3.6,1.5,2.1,0.92,0.64,sa KSA,DF,Roma,it Serie A,25,1999,2.3,0,0,0,2.0,5.0,0.0,7.0,2.0,2.0,0.0,1.0,0,3.0,0.0,1.0,0.0,2024-2025,631927
Nabil Aberdin,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,0,0.0,0.0,0.68,0.0,0.0,0.0,31.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,36.0,59.0,12.0,20.0,60.0,12.0,19.0,63.2,8.0,13.0,61.5,0.0,0.0,0.1,0.0,1.0,2.0,0.0,6.0,fr FRA,MF,Getafe,es La Liga,21,2002,2.9,61.0,58.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,3.0,3.0,1.03,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,100.0,3.0,0.0,3.0,6.0,5.0,0.0,87.0,6.0,21.0,56.0,10.0,2.0,87.0,3.0,2.0,66.7,1.0,33.3,34.0,148.0,74.0,2.0,0.0,0.0,1.0,1.0,36.0,2.0,7,263,38,7.7,4,63,1,3,4,7,1.14,1,2,-1,-0.34,-0.23,1.8,1.6,0.2,0.07,0.34,fr FRA,MF,Getafe,es La Liga,21,2002,2.9,1,0,0,7.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0,8.0,10.0,3.0,76.9,2024-2025,908621
Oliver Abildgaard,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,MF,Como,it Serie A,28,1996,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,7,0.2,0,0,0,1,7,0,0.0,0,0,0,0.0,0.08,0.0,0.0,0.0,-0.61,-0.68,dk DEN,MF,Como,it Serie A,28,1996,0.1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2024-2025,325993
Matthis Abline,11.0,8,11.5,0.29,0.07,0.36,0.26,0.33,0.28,0.12,0.4,0.25,0.37,9,26.0,35.6,2.37,0.85,0.11,0.31,15.0,0.0,1,1,8.5,7.7,0.11,0.5,0.3,351.0,65.2,185.0,256.0,72.3,119.0,160.0,74.4,20.0,38.0,52.6,2.0,3.8,3.4,-1.8,27.0,15.0,4.0,48.0,fr FRA,FW,Nantes,fr Ligue 1,21,2003,30.8,538.0,510.0,26.0,1.0,3.0,4.0,30.0,1.0,0.0,0.0,0.0,0.0,351.0,2.0,27.0,61.0,1.98,43.0,0.0,8.0,1.0,9.0,0.29,6.0,0.0,2.0,1.0,0.0,0.0,11.0,3.0,33.3,15.0,1.0,14.0,15.0,36.0,1.0,878.0,34.0,75.0,382.0,438.0,142.0,877.0,86.0,35.0,40.7,48.0,55.8,587.0,3670.0,1743.0,75.0,42.0,42.0,92.0,65.0,689.0,169.0,34,"2,768",81,90.5,33,83,12,1,23,0,1.06,34,42,-8,-0.26,1.28,34.6,47.1,-12.6,-0.41,0.78,fr FRA,FW,Nantes,fr Ligue 1,21,2003,30.8,3,0,0,34.0,53.0,5.0,30.0,4.0,5.0,0.0,0.0,0,83.0,64.0,76.0,45.7,2024-2025,659543
Abner,2.0,1,1.7,0.08,0.08,0.17,0.08,0.17,0.05,0.09,0.14,0.05,0.14,1,3.0,42.9,0.58,0.25,0.14,0.33,17.7,0.0,0,0,0.6,0.6,0.08,0.4,0.4,568.0,84.1,335.0,366.0,91.5,181.0,210.0,86.2,33.0,55.0,60.0,1.0,1.1,2.3,-0.1,11.0,11.0,2.0,66.0,br BRA,DF,Lyon,fr Ligue 1,24,2000,12.1,675.0,576.0,97.0,9.0,1.0,5.0,31.0,82.0,6.0,6.0,0.0,0.0,568.0,2.0,19.0,25.0,2.06,21.0,3.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,29.0,21.0,65.6,15.0,2.0,13.0,34.0,41.0,0.0,791.0,40.0,207.0,361.0,225.0,22.0,791.0,12.0,6.0,50.0,6.0,50.0,426.0,1926.0,1239.0,31.0,16.0,5.0,14.0,8.0,513.0,55.0,19,"1,090",57,35.6,12,83,6,7,14,13,1.84,18,15,3,0.25,-0.48,21.3,15.5,5.8,0.48,0.08,br BRA,DF,Lyon,fr Ligue 1,24,2000,12.1,1,0,0,16.0,4.0,0.0,31.0,5.0,20.0,0.0,0.0,0,45.0,7.0,9.0,43.8,2024-2025,646402
Zakaria Aboukhlal,9.0,6,10.2,0.33,0.09,0.43,0.28,0.38,0.48,0.07,0.56,0.41,0.48,7,26.0,41.9,2.94,1.23,0.1,0.23,14.6,0.0,1,2,10.2,8.6,0.14,-3.2,-2.6,221.0,63.3,145.0,193.0,75.1,56.0,94.0,59.6,6.0,15.0,40.0,2.0,1.6,2.0,0.4,12.0,10.0,4.0,22.0,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,21.1,349.0,333.0,13.0,1.0,0.0,0.0,33.0,7.0,3.0,2.0,0.0,0.0,221.0,3.0,14.0,34.0,1.61,19.0,0.0,4.0,1.0,7.0,0.33,3.0,0.0,1.0,0.0,3.0,0.0,22.0,4.0,17.4,16.0,1.0,15.0,28.0,9.0,0.0,613.0,6.0,59.0,196.0,363.0,113.0,611.0,53.0,16.0,30.2,35.0,66.0,375.0,1923.0,880.0,34.0,24.0,19.0,64.0,26.0,450.0,164.0,26,"1,901",73,62.1,22,82,9,4,25,0,1.31,22,23,-1,-0.05,-0.2,29.0,22.9,6.1,0.29,-0.19,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,21.1,4,0,0,35.0,25.0,13.0,33.0,6.0,13.0,2.0,0.0,0,61.0,22.0,38.0,36.7,2024-2025,393238
