misc_Age,misc_CrdY,misc_CrdR,misc_Fls,misc_Fld,misc_Off,misc_Recov,misc_PKwon,misc_PKcon,misc_OG,misc_Int,passing_Cmp%,passing_Ast,passing_xAG,passing_xA,passing_KP,passing_PPA,passing_PrgP,playingtime_MP,playingtime_Starts,playingtime_Subs,playingtime_PPM,playingtime_+/-90,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,possession_PrgC,possession_PrgR,possession_PrgDist,possession_Mis,possession_Dis,possession_Succ%,shooting_Gls,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_xG,shooting_npxG/Sh,stats_G-PK,stats_npxG+xAG,stats_Gls.1,stats_Ast.1,stats_xG.1,stats_xAG.1,pca_possession_Carries,pca_possession_Succ,misc_Pos_DF,misc_Pos_FW,misc_Pos_GK,misc_Pos_MF,misc_Comp_Belgian Pro League,misc_Comp_Eredivise,misc_Comp_Primeira Liga Portugal,misc_Comp_de Bundesliga,misc_Comp_eng Premier League,misc_Comp_es La Liga,misc_Comp_fr Ligue 1,misc_Comp_it Serie A,misc_Nation_0,misc_Nation_al ALB,misc_Nation_am ARM,misc_Nation_ao ANG,misc_Nation_ar ARG,misc_Nation_at AUT,misc_Nation_au AUS,misc_Nation_ba BIH,misc_Nation_be BEL,misc_Nation_bf BFA,misc_Nation_bg BUL,misc_Nation_bj BEN,misc_Nation_br BRA,misc_Nation_ca CAN,misc_Nation_cd COD,misc_Nation_cf CTA,misc_Nation_cg CGO,misc_Nation_ch SUI,misc_Nation_ci CIV,misc_Nation_cl CHI,misc_Nation_cm CMR,misc_Nation_cn CHN,misc_Nation_co COL,misc_Nation_cr CRC,misc_Nation_cv CPV,misc_Nation_cw CUW,misc_Nation_cy CYP,misc_Nation_cz CZE,misc_Nation_de GER,misc_Nation_dk DEN,misc_Nation_do DOM,misc_Nation_dz ALG,misc_Nation_ec ECU,misc_Nation_ee EST,misc_Nation_eg EGY,misc_Nation_eng ENG,misc_Nation_es ESP,misc_Nation_fi FIN,misc_Nation_fr FRA,misc_Nation_ga GAB,misc_Nation_ge GEO,misc_Nation_gh GHA,misc_Nation_gm GAM,misc_Nation_gn GUI,misc_Nation_gp GLP,misc_Nation_gq EQG,misc_Nation_gr GRE,misc_Nation_gw GNB,misc_Nation_hn HON,misc_Nation_hr CRO,misc_Nation_ht HAI,misc_Nation_hu HUN,misc_Nation_id IDN,misc_Nation_ie IRL,misc_Nation_il ISR,misc_Nation_ir IRN,misc_Nation_is ISL,misc_Nation_it ITA,misc_Nation_jm JAM,misc_Nation_jp JPN,misc_Nation_ke KEN,misc_Nation_km COM,misc_Nation_kr KOR,misc_Nation_lu LUX,misc_Nation_ly LBY,misc_Nation_ma MAR,misc_Nation_me MNE,misc_Nation_mk MKD,misc_Nation_ml MLI,misc_Nation_mq MTQ,misc_Nation_mr MTN,misc_Nation_mt MLT,misc_Nation_mx MEX,misc_Nation_mz MOZ,misc_Nation_ng NGA,misc_Nation_nir NIR,misc_Nation_nl NED,misc_Nation_no NOR,misc_Nation_nz NZL,misc_Nation_pa PAN,misc_Nation_pe PER,misc_Nation_pl POL,misc_Nation_ps PLE,misc_Nation_pt POR,misc_Nation_py PAR,misc_Nation_ro ROU,misc_Nation_rs SRB,misc_Nation_ru RUS,misc_Nation_sct SCO,misc_Nation_se SWE,misc_Nation_si SVN,misc_Nation_sk SVK,misc_Nation_sl SLE,misc_Nation_sn SEN,misc_Nation_sr SUR,misc_Nation_sy SYR,misc_Nation_tg TOG,misc_Nation_tn TUN,misc_Nation_tr TUR,misc_Nation_ua UKR,misc_Nation_us USA,misc_Nation_uy URU,misc_Nation_uz UZB,misc_Nation_ve VEN,misc_Nation_wls WAL,misc_Nation_xk KVX,misc_Nation_za RSA,misc_Nation_zm ZAM,misc_Nation_zw ZIM,fee
30,2,0,17.0,39.0,23.0,141.0,2.0,1.0,0,16.0,74.5,9.0,11.1,10.9,99.0,42.0,119.0,31,30,1,1.39,-0.13,46.3,46.6,-0.3,-0.01,73.0,197.0,2444.0,42.0,34.0,43.8,12,50.0,1.48,0.74,0.27,0.55,19.0,7.2,0.15,12,17.6,0.4,0.3,0.24,0.37,2.776131305703328,0.10228933768758924,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
35,3,0,17.0,43.0,31.0,71.0,1.0,0.0,0,5.0,77.7,2.0,3.8,3.2,36.0,32.0,117.0,33,31,2,2.18,1.12,62.2,32.9,29.3,0.94,154.0,277.0,3604.0,62.0,32.0,61.1,29,38.1,5.14,1.96,0.14,0.38,18.5,27.7,0.13,23,25.2,0.93,0.06,0.89,0.12,1.8987073793956335,3.412812582936245,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000000.0
29,1,0,7.0,3.0,0.0,50.0,0.0,0.0,0,8.0,86.2,0.0,0.0,0.2,0.0,1.0,25.0,10,8,2,1.6,0.5,12.9,9.8,3.1,0.38,19.0,3.0,1895.0,3.0,4.0,100.0,0,25.0,0.5,0.12,0.0,0.0,12.7,1.0,0.26,0,1.0,0.0,0.0,0.13,0.0,-0.6783241607360893,-1.443009059751952,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0
37,5,0,12.0,36.0,7.0,78.0,0.0,0.0,0,2.0,75.6,3.0,1.4,1.0,14.0,11.0,44.0,29,15,14,1.1,-0.32,16.7,22.5,-5.8,-0.37,23.0,98.0,701.0,52.0,23.0,51.7,7,52.6,1.22,0.64,0.32,0.6,16.1,4.2,0.18,6,4.7,0.45,0.19,0.27,0.09,-0.6401675674961405,0.011541499024833429,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130000.0
28,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,93.5,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,-3.0,1.4,2.4,-1.1,-1.05,0.0,0.0,61.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-2.3561030935018867,-1.4935916751908578,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0
29,11,0,54.0,38.0,4.0,230.0,1.0,0.0,0,38.0,85.2,3.0,2.8,2.9,26.0,21.0,162.0,32,31,1,2.13,1.02,50.0,33.3,16.7,0.59,23.0,30.0,2455.0,33.0,14.0,70.4,1,22.0,1.44,0.32,0.02,0.11,25.1,2.5,0.06,1,5.3,0.04,0.11,0.09,0.1,4.635735356608414,-0.10601115749044276,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70650000.0
34,2,0,0.0,2.0,0.0,45.0,0.0,0.0,0,1.0,73.0,0.0,0.0,0.0,1.0,1.0,2.0,37,37,0,1.32,-0.03,45.3,57.9,-12.6,-0.34,1.0,0.0,2301.0,2.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.1812937371680752,-1.443009059751952,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
26,2,0,7.0,5.0,2.0,13.0,0.0,0.0,0,1.0,73.3,0.0,0.3,0.4,2.0,1.0,11.0,17,1,16,1.12,0.71,5.6,3.1,2.5,0.89,4.0,21.0,81.0,9.0,4.0,33.3,1,28.6,2.47,0.71,0.14,0.5,18.1,1.0,0.14,1,1.3,0.35,0.0,0.35,0.11,-2.0285570728790128,-1.3363813536616518,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090000.0
33,1,0,15.0,29.0,10.0,160.0,1.0,0.0,0,9.0,66.6,8.0,5.9,6.2,63.0,67.0,196.0,35,28,7,1.31,0.04,31.3,39.7,-8.4,-0.3,122.0,180.0,4000.0,48.0,11.0,56.9,5,32.7,1.98,0.65,0.05,0.17,22.8,4.9,0.06,3,9.2,0.18,0.29,0.18,0.21,3.0591874048823735,1.1462089395307185,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0
35,3,1,7.0,35.0,10.0,135.0,0.0,1.0,0,17.0,72.9,4.0,4.7,4.9,57.0,55.0,135.0,35,32,3,1.17,-0.17,30.3,50.1,-19.8,-0.65,71.0,171.0,2245.0,25.0,13.0,23.5,7,43.5,1.52,0.66,0.15,0.35,22.2,3.7,0.08,7,8.3,0.23,0.13,0.12,0.15,2.995670548811348,-0.1343203209792399,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0
